keys,speaker,act,dialogue,information
story1_0_0_0_0,ink,ink_serious,이 장면에서 주인공의 어깨 상처는 방금 생긴 것처럼 보이는가?,
story1_0_0_0_1,client,clt_think,확실히... 겉으로 보기에는 그러네요.,
story1_0_0_0_2,client,clt_think,피가 아직도 번졌으면서도...,
story1_0_0_0_3,client,clt_idle_1,옷은 찢긴 것처럼 젖어 있어요.,
story1_0_0_0_4,client,clt_panic,"그런데... 저 사람 태도, 뭔가 시점이 안 맞는 느낌이랄까.",
story1_0_0_0_5,ink,ink_haught,시점이 안 맞는다는 게 무슨 말인가?,
story1_0_0_0_6,client,clt_think,방금 다친 사람이라면 움직일 때마다 통증을 느껴야 하는데...,
story1_0_0_0_7,client,clt_idle_1,그 고통이 예전부터 거기 있었던 것처럼 행동하잖아요.,고통을 못 느끼는 주인공
story1_0_0_0_8,ink,ink_haught,고통을 못 느끼는 사람처럼 보인다는 건가?,
story1_0_0_0_9,client,clt_idle_1,아니면 그 고통을 이겨내는 어떤 요소가 있을지도?,
story1_0_0_0_10,ink,ink_panic,... 뭐... 예를 들어 줄 수 있나?,
story1_0_0_0_11,client,clt_innocent,뭐... 쉽게 이길 수 있는 약한 상대랑 싸운다는 기대?,
story1_0_0_0_12,client,clt_innocent,아니면 나를 암살자로부터 살아남았다는 안도감?,
story1_0_0_0_13,ink,ink_idle,예시가 상당히 섬뜩하군...,
story1_0_0_0_14,client,clt_panic,섬뜩한게 아니라 하드보일드라구요...,
story1_0_0_0_15,ink,ink_idle,확실히 상처가 꼭 지금 생긴 것 같진 않네.,
story1_0_0_0_16,ink,ink_haught,이전에 무슨 상황이 있다거나...,
story1_0_0_0_17,client,clt_laugh,아니면 진짜 은둔고수라서 여유롭거나.,
story1_0_0_0_18,ink,ink_haught,좋아. 이 질문은 된 것 같아.,
story1_0_0_0_19,ink,ink_idle,그렇다면...,
