keys,speaker,act,dialogue,information
story1_0_9_0_0,ink,ink_serious,"이 장면은 갈등의 정점인가, 결말 직전의 일시적 우위인가?",
story1_0_9_0_1,client,clt_think,흠... 단정짓기엔 조금 이른 것 같네요.,
story1_0_9_0_2,client,clt_think,분위기는 묘하지만...,
story1_0_9_0_3,client,clt_idle_1,주인공이 확실한 우위를 점한 것 같긴 해요.,
story1_0_9_0_4,client,clt_think,"자세며, 눈빛이며, 방아쇠에 걸린 손가락까지.",
story1_0_9_0_5,client,clt_idle_1,흐트러짐이 없었어요.,
story1_0_9_0_6,ink,ink_haught,마치 모든 걸 끝낼 수 있을 듯한 순간이긴 하군.,
story1_0_9_0_7,client,clt_idle_1,"그렇지만 아이러니하게도, 그렇게 보이는 순간이 꼭 마지막은 아닐지 몰라요.",
story1_0_9_0_8,ink,ink_panic,음? 그게 무슨 소린가?,
story1_0_9_0_9,client,clt_think,마지막 한 칸 앞...,
story1_0_9_0_10,client,clt_think,누가 먼저 심호흡을 멈추느냐에 따라서...,
story1_0_9_0_11,client,clt_innocent,승리의 흐름이 뒤바뀌는 순간일 수도 있죠.,
story1_0_9_0_12,ink,ink_serious,"그러니까, 결정적인 것 같으면서도 아직 여지를 남긴 상태다...?",
story1_0_9_0_13,client,clt_innocent,바로 그거죠.,여지를 남겨둠
story1_0_9_0_14,client,clt_think,끝이 보이긴 해요. 다만...,
story1_0_9_0_15,client,clt_idle_1,그 끝이 이 손에서 끝날지...,
story1_0_9_0_16,client,clt_idle_1,아니면 또 다른 시련을 지나야 할지는…,
story1_0_9_0_17,client,clt_panic,"글쎄요, 아직은 모르겠네요.",
story1_0_9_0_18,ink,ink_haught,"됐어, 이건 여기까지.",
story1_0_9_0_19,ink,ink_idle,그렇다면...,
