key,question,dialogTrue,dialogFalse
story1_question_0_0,왜 주인공은 굳이 낮은 자세를 선택했을까?,story1_0_0_0,story1_0_0_1
story1_question_0_1,이 조준은 계획된 움직임으로 보이는가?,story1_0_1_0,story1_0_1_1
story1_question_0_2,적은 이 조준 상황을 인지하고 있었을까?,story1_0_2_0,story1_0_2_1
story1_question_0_3,"주인공이 상대를 죽일 의도였는가, 제압하려는 의도였는가?",story1_0_3_0,story1_0_3_1
story1_question_0_4,이 장면에서 주인공에게 망설임은 느껴지는가?,story1_0_4_0,story1_0_4_1
story1_question_0_5,주변 환경이 은밀한 접근을 가능하게 만든 듯한 구조인가?,story1_0_5_0,story1_0_5_1
story1_question_0_6,"적은 방심한 상태였는가, 아니면 이미 경계하고 있었는가?",story1_0_6_0,story1_0_6_1
story1_question_0_7,주인공의 표정이나 눈빛에서 감정의 동요가 보이는가?,story1_0_7_0,story1_0_7_1
story1_question_0_8,적의 머리 아래라는 위치가 의미하는 바는 무엇일까?,story1_0_8_0,story1_0_8_1
story1_question_0_9,"이 장면은 갈등의 정점인가, 결말 직전의 일시적 우위인가?",story1_0_9_0,story1_0_9_1
story1_question_0_10,"상황상 대화가 오가기 직전인가, 이미 말이 끝난 후인가?",story1_0_10_0,story1_0_10_1
story1_question_0_11,이 자세와 구도는 주도권이 누구에게 있는지를 암시하는가?,story1_0_11_0,story1_0_11_1
story1_question_1_0,그 실루엣이 일전에 마주친 사람인 것 같나?,story1_1_0_0,story1_1_0_1
story1_question_1_1,새로운 적이 나타난 것으로 보이나?,story1_1_1_0,story1_1_1_1
story1_question_1_2,주인공은 이 상황에서 말을 건네려고 하는가?,story1_1_2_0,story1_1_2_1
story1_question_1_3,바닥에 떨어진 것들은 어떤 것들로 이루어져 있는지 보이나?,story1_1_3_0,story1_1_3_1
story1_question_1_4,연출이 두 인물 사이의 긴장감을 의도적으로 강조하고 있는가?,story1_1_4_0,story1_1_4_1
story1_question_1_5,곧 마찰이 있을 법한 기류가 흘렀는가?,story1_1_5_0,story1_1_5_1
story1_question_1_6,실루엣은 무기를 쥐고 있었는가?,story1_1_6_0,story1_1_6_1
story1_question_1_7,누군가를 만나기로 약속되어 있던 상황같나?,story1_1_7_0,story1_1_7_1
story1_question_1_8,주변 환경에서 실루엣 인물의 목적이나 성격이 암시되는가?,story1_1_8_0,story1_1_8_1
story1_question_1_9,"주인공은 이후, 어떤 행동을 취할 것 같나?",story1_1_9_0,story1_1_9_1
story1_question_1_10,이 장면 전체가 함정처럼 보이진 않는가?,story1_1_10_0,story1_1_10_1
story1_question_1_11,실루엣의 등장 방식이 은밀한 접근처럼 느껴지는가?,story1_1_11_0,story1_1_11_1
story1_question_2_0,조준 대상이 카메라 밖에 있는 이유는 무엇일까?,story1_2_0_0,story1_2_0_1
story1_question_2_1,주인공의 표정이나 눈빛에 주저함이 보였는가?,story1_2_1_0,story1_2_1_1
story1_question_2_2,총을 겨눈 손이 흔들리거나 굳어 있었는가?,story1_2_2_0,story1_2_2_1
story1_question_2_3,"총을 겨누는 자세는 익숙한가, 어색한가?",story1_2_3_0,story1_2_3_1
story1_question_2_4,"이 조준은 공격인가, 방어인가?",story1_2_4_0,story1_2_4_1
story1_question_2_5,조준 직전에 대화가 있었을 것 같은 분위기였는가?,story1_2_5_0,story1_2_5_1
story1_question_2_6,총을 겨누기까지 어떤 감정의 흐름이 있었을 것 같은가?,story1_2_6_0,story1_2_6_1
story1_question_2_7,이 장면이 이야기의 시작이었을 가능성은 얼마나 있을까?,story1_2_7_0,story1_2_7_1
